squareMeters,floor,buildYear,poiCount,price_per_m2,clinicDistance_binned,kindergartenDistance_binned,collegeDistance_binned,pharmacyDistance_binned,centreDistance_binned,price_per_m2_log,hasParkingSpace_yes,hasBalcony_yes,hasElevator_no,hasElevator_yes,type_blockOfFlats,type_tenement,condition_premium,condition_standard
94.91,2.0,1922.0,32.0,18439.0,0,1,1,0,0,9.822223265705164,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
37.0,2.0,1970.0,17.0,14838.0,1,0,1,0,8,9.604946736749472,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
40.0,4.0,1965.0,10.0,15875.0,1,0,2,0,3,9.672500823760892,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
52.67,2.0,2009.0,4.0,16613.0,2,0,9,0,8,9.71794080038648,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
44.61,3.0,1966.0,15.0,14347.0,0,0,1,0,3,9.57129614009839,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
56.77,3.0,2024.0,45.0,25399.0,1,0,0,0,0,10.142465082152865,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
48.0,2.0,2000.0,17.0,15833.0,2,0,1,0,2,9.669851648501433,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
45.16,2.0,2007.0,5.0,16364.0,0,1,4,0,5,9.702839079049289,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
64.15,2.0,1980.0,18.0,12455.0,1,0,4,0,8,9.429877427696281,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
66.53,4.0,2014.0,9.0,17661.0,1,0,2,0,3,9.779114097696372,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
35.0,11.0,1980.0,9.0,15400.0,0,0,1,0,6,9.642122788401721,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
40.7,3.0,1950.0,20.0,18428.0,0,0,1,0,3,9.821626526055807,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
40.0,6.0,2024.0,5.0,23474.0,1,1,3,0,3,10.06364870466007,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
56.19,3.0,1966.0,9.0,15839.0,0,0,2,0,3,9.670230532062421,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
47.2,11.0,1990.0,18.0,12987.0,0,0,0,0,7,9.471704136110091,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
37.0,7.0,2000.0,23.0,12405.0,1,0,2,0,8,9.425854896125902,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
